# GPS drift 10-minute recording
# start_unix=1778546994
host_elapsed_s,status,samples,lat,lon,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
0.001,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,325737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=325737"
0.843,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,326737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=326737"
1.848,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,327737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=327737"
2.844,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,328737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=328737"
3.845,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,329737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=329737"
4.849,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,330737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=330737"
5.844,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,331737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=331737"
6.850,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,332737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=332737"
7.848,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,333737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=333737"
8.852,TRACK,364,22.78623550,120.27043583,12,1.11,11.530,10.990,3.510,9.970,10.650,15.200,334737,"status=TRACK samples=364 drift=11.53m east=10.99m north=3.51m avg=9.97m rms=10.65m max=15.20m lat=22.78623550 lon=120.27043583 sat=12 hdop=1.11 gps_baud=38400 fix_age_ms=334737"
