# GPS drift 5-minute recording
# start_unix=1778582036
host_elapsed_s,status,samples,lat,lon,alt_m,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
0.506,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,60,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=60"
0.507,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,160,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=160"
0.507,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,260,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=260"
0.508,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,360,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=360"
0.509,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,460,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=460"
0.559,TRACK,337,22.786194500,120.269677500,37.30,12,0.62,1.139,0.991,0.562,2.532,2.966,4.726,560,"status=TRACK samples=337 drift=1.139m east=0.991m north=0.562m avg=2.532m rms=2.966m max=4.726m lat=22.786194500 lon=120.269677500 sat=12 hdop=0.62 alt=37.30m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=560"
0.659,TRACK,339,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.524,2.958,4.726,25,"status=TRACK samples=339 drift=1.169m east=1.025m north=0.562m avg=2.524m rms=2.958m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=25"
0.763,TRACK,341,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.516,2.951,4.726,20,"status=TRACK samples=341 drift=1.169m east=1.025m north=0.562m avg=2.516m rms=2.951m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=20"
0.862,TRACK,342,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.512,2.947,4.726,27,"status=TRACK samples=342 drift=1.169m east=1.025m north=0.562m avg=2.512m rms=2.947m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=27"
0.963,TRACK,344,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.504,2.940,4.726,22,"status=TRACK samples=344 drift=1.169m east=1.025m north=0.562m avg=2.504m rms=2.940m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=22"
1.071,TRACK,345,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.501,2.937,4.726,75,"status=TRACK samples=345 drift=1.169m east=1.025m north=0.562m avg=2.501m rms=2.937m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=75"
1.161,TRACK,347,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.493,2.929,4.726,23,"status=TRACK samples=347 drift=1.169m east=1.025m north=0.562m avg=2.493m rms=2.929m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=23"
1.259,TRACK,349,22.786194500,120.269677833,37.20,12,0.63,1.169,1.025,0.562,2.485,2.922,4.726,31,"status=TRACK samples=349 drift=1.169m east=1.025m north=0.562m avg=2.485m rms=2.922m max=4.726m lat=22.786194500 lon=120.269677833 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=31"
1.364,TRACK,351,22.786194500,120.269678000,37.20,12,0.63,1.184,1.042,0.562,2.478,2.915,4.726,31,"status=TRACK samples=351 drift=1.184m east=1.042m north=0.562m avg=2.478m rms=2.915m max=4.726m lat=22.786194500 lon=120.269678000 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=31"
1.464,TRACK,353,22.786194500,120.269678000,37.20,12,0.63,1.184,1.042,0.562,2.471,2.909,4.726,8,"status=TRACK samples=353 drift=1.184m east=1.042m north=0.562m avg=2.471m rms=2.909m max=4.726m lat=22.786194500 lon=120.269678000 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=8"
1.560,TRACK,355,22.786194500,120.269678000,37.20,12,0.63,1.184,1.042,0.562,2.463,2.902,4.726,46,"status=TRACK samples=355 drift=1.184m east=1.042m north=0.562m avg=2.463m rms=2.902m max=4.726m lat=22.786194500 lon=120.269678000 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=46"
1.664,TRACK,355,22.786194500,120.269678000,37.20,12,0.63,1.184,1.042,0.562,2.463,2.902,4.726,146,"status=TRACK samples=355 drift=1.184m east=1.042m north=0.562m avg=2.463m rms=2.902m max=4.726m lat=22.786194500 lon=120.269678000 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=146"
1.762,TRACK,355,22.786194500,120.269678000,37.20,12,0.63,1.184,1.042,0.562,2.463,2.902,4.726,246,"status=TRACK samples=355 drift=1.184m east=1.042m north=0.562m avg=2.463m rms=2.902m max=4.726m lat=22.786194500 lon=120.269678000 sat=12 hdop=0.63 alt=37.20m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=246"
1.868,TRACK,357,22.786194500,120.269678167,37.10,12,0.63,1.199,1.059,0.562,2.456,2.895,4.726,61,"status=TRACK samples=357 drift=1.199m east=1.059m north=0.562m avg=2.456m rms=2.895m max=4.726m lat=22.786194500 lon=120.269678167 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=61"
1.968,TRACK,359,22.786194500,120.269678167,37.10,12,0.63,1.199,1.059,0.562,2.449,2.888,4.726,38,"status=TRACK samples=359 drift=1.199m east=1.059m north=0.562m avg=2.449m rms=2.888m max=4.726m lat=22.786194500 lon=120.269678167 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=38"
2.064,TRACK,359,22.786194500,120.269678167,37.10,12,0.63,1.199,1.059,0.562,2.449,2.888,4.726,138,"status=TRACK samples=359 drift=1.199m east=1.059m north=0.562m avg=2.449m rms=2.888m max=4.726m lat=22.786194500 lon=120.269678167 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=138"
2.165,TRACK,360,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.446,2.885,4.726,42,"status=TRACK samples=360 drift=1.214m east=1.076m north=0.562m avg=2.446m rms=2.885m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=42"
2.264,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,79,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=79"
2.374,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,179,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=179"
2.460,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,279,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=279"
2.559,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,379,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=379"
2.670,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,479,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=479"
2.764,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,579,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=579"
2.865,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,679,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=679"
2.960,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,779,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=779"
3.070,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,879,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=879"
