# ICM42688 vertical acceleration GUI log
# vertical_accel_mps2=(accel_z_g-1.0)*9.80665
# start_unix=1778752813
host_time_iso,elapsed_s,imu_time_us,imu_sample,imu_temp_c,accel_x_g,accel_y_g,accel_z_g,vertical_accel_g,vertical_accel_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_failed_reads
2026-05-14T18:00:13.246,0.005,20540199,942,25.528,0.00049,-0.11182,-0.96924,-1.969240,-19.311647,-0.122,0.122,-0.183,1
2026-05-14T18:00:13.297,0.057,20560198,943,25.543,0.00000,-0.11084,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:13.298,0.057,20574931,944,25.543,-0.00244,-0.11035,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.183,1
2026-05-14T18:00:13.309,0.068,20600197,945,25.543,-0.00098,-0.11133,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:13.331,0.091,20620202,946,25.528,-0.00049,-0.00049,-0.00049,-1.000490,-9.811455,-0.061,-0.061,-0.061,1
2026-05-14T18:00:13.344,0.103,20634943,947,25.543,-0.00049,-0.11133,-0.97217,-1.972170,-19.340381,-0.122,0.183,-0.183,1
2026-05-14T18:00:13.367,0.127,20660201,948,25.543,0.00195,-0.11182,-0.98242,-1.982420,-19.440899,-0.061,0.183,-0.244,1
2026-05-14T18:00:13.392,0.152,20680198,949,25.543,-0.00195,-0.11133,-0.97412,-1.974120,-19.359504,-0.061,0.122,-0.183,1
2026-05-14T18:00:13.405,0.164,20694932,950,25.543,-0.00049,-0.11182,-0.97266,-1.972660,-19.345186,-0.122,0.244,-0.183,1
2026-05-14T18:00:13.451,0.211,20720210,951,25.559,-0.00049,-0.11133,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.122,1
2026-05-14T18:00:13.452,0.211,20740202,952,25.559,0.00000,-0.10986,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:13.462,0.221,20754930,953,25.528,-0.00049,-0.11035,-0.96973,-1.969730,-19.316453,-0.061,0.122,-0.183,1
2026-05-14T18:00:13.487,0.247,20780201,954,25.543,-0.00098,-0.11133,-0.97119,-1.971190,-19.330770,-0.061,0.122,-0.122,1
2026-05-14T18:00:13.512,0.272,20800198,955,25.528,0.00049,-0.11133,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.305,1
2026-05-14T18:00:13.523,0.282,20814932,956,25.559,-0.00049,-0.11035,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:13.547,0.307,20840201,957,25.574,0.00098,-0.11084,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.244,1
2026-05-14T18:00:13.572,0.331,20860202,958,25.543,-0.00049,-0.11084,-0.96924,-1.969240,-19.311647,-0.061,0.183,-0.122,1
2026-05-14T18:00:13.584,0.344,20874943,959,25.559,0.00049,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:13.609,0.368,20900201,960,25.574,0.00098,-0.11035,-0.97070,-1.970700,-19.325965,-0.122,0.122,-0.183,1
