time,lat,lon,alt,speed,heading,sat,accz,pitch,gyro,battery,temp,hum,pressure,status
1260.317,24.9960636,120.9814902,30.7,3.8,95.6,13,-0.49,18.84,-47.8,8.048,25.14,37.8,98506.0,0
1260.417,24.993621,121.0070332,161.7,44.7,256.3,7,0.82,-17.5,3.8,7.3,24.88,39.8,96609.0,0
1260.517,25.0291421,121.0182587,243.0,55.0,307.5,7,-1.84,13.91,-47.2,8.103,25.89,63.7,97339.0,0
1260.617,25.0248409,120.9959324,51.9,28.9,245.6,7,0.54,9.14,40.0,7.779,30.41,79.0,98162.0,0
1260.717,24.9971404,120.9761458,154.0,16.9,158.4,12,1.34,-22.43,-14.8,7.574,24.31,62.8,99890.0,0
1260.817,25.0134176,121.0062881,50.9,29.4,252.7,5,-0.72,21.46,-7.9,7.699,31.57,40.1,103199.0,0
1260.917,24.9957373,121.0256802,133.7,44.2,290.1,7,-0.12,-25.33,-16.1,8.374,26.48,79.4,95954.0,0
1261.017,24.9711661,121.0207491,88.3,8.1,356.0,8,-0.07,4.91,-46.4,8.325,33.34,44.5,95902.0,0
1261.117,24.9784195,121.0188678,43.4,73.2,244.3,6,-0.21,27.18,-7.4,7.752,28.91,73.7,104414.0,0
1261.217,24.9987989,121.0057598,92.1,11.9,357.1,12,-1.12,15.3,-45.1,7.603,31.72,73.0,98599.0,0
1261.317,24.9753286,120.9922423,132.0,11.4,123.6,6,-0.35,-12.23,18.0,7.438,29.12,66.6,101340.0,0
1261.417,24.9861799,120.991383,14.8,41.1,36.0,9,0.59,5.6,21.3,7.83,25.47,34.7,101031.0,0
1261.517,25.0103415,121.0127584,63.5,13.6,42.6,11,0.04,-29.75,-44.8,7.926,28.45,32.2,101605.0,0
1261.617,25.0104317,120.99277,72.9,55.9,1.7,12,1.62,15.27,-23.7,7.863,26.18,46.5,101367.0,0
1261.717,25.0144115,120.9733674,238.7,65.9,225.5,14,0.66,16.73,-28.8,7.73,32.58,60.1,101959.0,0
1261.817,24.9702975,121.0101224,73.2,63.6,75.2,10,0.16,7.39,32.6,7.234,30.37,54.4,100820.0,0
1261.917,24.9764177,120.985553,249.9,32.9,120.7,14,0.59,8.49,48.2,7.457,33.96,61.9,97694.0,0
1262.017,25.0038192,120.9892777,179.1,12.9,213.6,13,1.95,3.96,39.9,8.398,29.8,52.4,104356.0,0
1262.117,25.0013169,121.0085593,88.4,29.0,306.1,13,-0.03,26.4,-32.6,7.868,22.93,83.7,104198.0,0
1262.217,25.007855,120.9759156,22.8,20.1,263.5,10,-1.81,23.41,-17.6,7.254,28.91,59.5,96686.0,0
1262.317,25.0032513,120.9911893,189.2,52.7,150.3,14,-1.21,-9.78,-32.0,7.323,22.5,51.8,95497.0,0
1262.417,25.0191284,121.0110172,291.4,30.1,335.4,7,0.91,18.16,23.4,7.858,24.65,35.7,103314.0,0
1262.517,24.9961884,120.9972756,283.3,0.1,75.4,13,-1.28,29.9,5.7,8.273,21.77,80.3,101067.0,0
1262.617,24.9862997,121.0217429,18.9,75.2,303.0,7,-0.16,-26.57,49.3,8.175,32.83,36.1,99683.0,0
1262.717,25.0198843,120.9866842,118.6,40.0,215.6,13,1.89,0.87,38.8,8.063,26.46,66.2,102793.0,0
1262.817,25.0177546,121.0117927,183.7,51.7,49.1,12,-1.11,-18.97,41.5,7.94,24.47,35.5,95282.0,0
1262.917,24.9996764,120.9766419,228.0,74.5,180.1,12,-0.04,-18.84,26.6,7.42,25.86,50.0,103570.0,0
1263.017,25.0037698,121.001533,281.6,2.4,251.3,12,-1.86,-19.42,-38.8,8.157,29.12,72.4,97461.0,0
1263.117,25.0063001,120.988311,282.3,21.2,43.7,8,-0.38,17.49,-23.5,7.444,34.43,64.6,95567.0,0
1263.217,25.0267889,120.9829608,40.2,72.2,145.9,6,-0.69,22.85,15.1,8.205,28.67,88.7,101483.0,0
1263.317,24.9833029,120.9980808,183.3,55.8,191.7,13,-1.77,18.72,12.6,7.296,21.53,63.5,102933.0,0
1263.417,24.9924002,121.0242542,142.3,64.6,145.9,10,-1.6,-17.56,-11.2,7.385,28.3,50.9,99856.0,0
1263.517,24.9931995,120.9850354,174.7,24.6,179.7,8,-0.48,-6.71,-41.3,8.009,21.75,65.8,102485.0,0
1263.617,24.9921092,120.9787703,263.8,72.0,113.5,8,1.54,14.23,28.3,8.107,24.27,41.5,95161.0,0
1263.717,24.987051,121.0088934,160.6,20.8,194.1,13,0.87,-11.73,-49.7,7.785,31.43,80.1,102091.0,0
1263.817,25.0061134,121.0192042,129.4,13.3,197.6,13,0.05,3.68,44.5,8.298,30.59,84.0,100544.0,0
1263.917,25.0272416,121.011042,63.3,55.0,230.3,8,1.49,-15.32,-9.4,8.392,24.56,69.3,98688.0,0
1264.017,25.0172677,120.9927734,139.8,55.7,315.0,7,-0.51,-26.84,49.1,7.469,25.03,66.8,104290.0,0
1264.117,24.9840037,121.0207427,186.5,8.6,19.6,12,-0.3,12.87,-22.8,7.488,31.29,59.2,103107.0,0
1264.217,25.0056967,121.0060478,232.4,73.2,41.5,7,0.57,-2.3,-12.0,8.125,28.92,42.5,101404.0,0
1264.317,24.9808973,121.0021631,0.2,54.8,89.8,5,-0.66,19.22,-23.7,7.888,26.4,38.9,98232.0,0
1264.417,24.9702708,120.9884615,76.3,64.2,61.6,10,0.68,18.51,3.3,8.207,23.57,83.5,104437.0,0
1264.517,25.0219369,120.9988858,2.2,5.6,3.6,6,-0.48,3.24,-20.0,7.7,29.15,40.2,100411.0,0
1264.617,25.0199659,121.0287727,63.5,63.5,152.0,13,0.38,-5.97,-33.8,8.178,22.33,53.7,101761.0,0
1264.717,25.0041406,120.9754551,272.5,25.6,95.8,8,1.31,-18.04,-12.8,7.332,26.77,80.5,95620.0,0
1264.817,24.9776009,120.9973024,98.5,76.0,319.7,12,0.33,-29.35,-31.2,7.96,25.64,48.2,98234.0,0
1264.917,24.9700305,121.0083433,82.5,76.2,321.8,12,1.08,-29.16,-13.8,8.271,23.65,48.6,99605.0,0
1265.017,25.0150051,120.9704346,175.7,1.6,57.1,14,0.58,22.65,46.3,7.906,26.12,45.7,102658.0,0
1265.117,25.0121161,121.0196936,36.2,14.3,155.4,13,0.81,-3.78,27.5,8.339,27.34,48.1,102820.0,0
1265.217,25.0091759,121.023397,120.1,51.4,123.6,5,1.02,-3.3,-1.3,7.592,23.79,47.7,100998.0,0
1265.317,24.984898,120.9817776,258.1,21.6,61.7,10,-1.49,-27.25,34.0,7.627,21.46,36.2,104907.0,0
1265.417,25.0119144,121.0272492,30.0,61.3,4.7,10,0.44,10.49,40.8,7.83,23.84,82.4,104433.0,0
1265.517,24.9893135,120.9793574,122.2,2.2,105.1,14,-1.37,5.6,33.0,8.022,32.63,87.3,97707.0,0
1265.617,24.9911248,120.9727238,80.8,4.4,202.1,5,-0.18,17.43,-29.2,7.296,31.41,37.3,101929.0,0
1265.717,24.9849873,120.971823,19.2,36.4,209.6,6,-1.92,-29.13,-11.5,8.095,34.16,30.0,97582.0,0
1265.817,25.0081132,120.9918994,51.3,1.9,271.6,7,-1.44,13.4,29.6,7.27,30.17,77.7,95314.0,0
1265.917,25.025951,121.0236442,72.2,30.0,128.3,8,-1.39,12.76,-30.8,8.284,20.05,40.4,97436.0,0
1266.017,24.983619,120.9757786,198.4,35.8,201.1,14,1.9,-24.59,10.0,8.304,20.78,66.5,95981.0,0
1266.117,25.0067464,120.9920686,170.7,19.1,89.3,11,-0.63,-11.8,26.7,7.391,31.73,32.4,95594.0,0
1266.217,25.0054039,121.0091453,113.2,35.5,153.0,7,1.5,18.27,41.7,8.227,31.18,86.6,101824.0,0
1266.317,25.0118605,120.9955551,299.1,19.9,35.3,5,-0.49,-22.78,-42.5,7.92,20.16,38.7,99925.0,0
1266.417,25.0101789,120.9922006,251.6,0.3,83.3,5,0.61,25.56,10.4,7.358,32.89,33.2,99855.0,0
1266.517,24.9959083,120.9869034,56.8,32.0,276.0,9,1.95,22.49,-31.7,7.537,31.63,43.8,96961.0,0
1266.617,24.9991318,121.0247759,176.5,41.3,236.0,12,1.76,-17.39,-22.6,8.065,33.11,36.5,103264.0,0
1266.717,25.0023202,120.9831432,242.8,1.9,76.9,12,1.57,-26.03,34.0,7.489,27.0,83.6,98435.0,0
1266.817,24.9873246,120.9878749,6.9,25.1,233.4,10,-1.09,7.76,-28.2,7.803,32.57,42.7,100459.0,0
1266.917,24.9984752,121.0237421,76.2,20.0,103.3,12,-0.6,9.04,-27.3,7.616,21.79,83.4,98998.0,0
1267.017,24.976402,121.0063805,125.6,24.7,216.2,7,-1.52,6.07,-29.4,7.558,26.02,72.2,99748.0,0
1267.117,24.9998559,120.9781157,58.3,28.3,257.7,11,0.3,-27.24,-34.4,8.012,34.25,75.0,100056.0,0
1267.217,24.9881262,120.9777835,12.3,77.0,130.6,8,1.79,-10.74,23.8,8.388,32.27,64.5,100573.0,0
1267.317,24.9792722,120.9704658,43.8,65.1,340.9,10,0.76,-4.81,16.6,7.659,29.02,78.6,101393.0,0
1267.417,25.0136257,121.0097726,129.1,43.2,194.5,14,-0.89,2.45,42.2,8.37,28.2,49.8,100290.0,0
1267.517,25.0178214,121.0116586,270.0,49.6,24.2,11,-0.59,25.03,-10.0,7.734,25.94,70.6,104853.0,0
1267.617,25.0282413,120.9888996,117.6,58.4,123.2,13,1.33,25.68,-8.9,8.383,33.43,44.2,101843.0,0
1267.717,24.9994027,121.0219514,154.8,14.6,139.8,13,-0.36,29.81,26.1,7.753,20.66,84.1,103797.0,0
1267.817,24.9867747,120.9998412,64.8,49.3,290.0,11,-1.98,9.86,-15.9,8.28,32.93,88.6,103462.0,0
1267.917,25.0021072,121.0143072,118.5,46.4,136.1,12,-1.35,19.22,9.5,8.378,34.22,44.2,99054.0,0
1268.017,24.9777931,120.9981779,19.3,18.1,88.3,12,-0.43,-4.47,30.8,7.587,24.18,83.9,104054.0,0
1268.117,24.9871943,120.9895947,258.0,58.8,174.6,8,-1.95,10.67,0.8,7.703,34.47,47.8,96100.0,0
1268.217,25.0132861,121.0048929,231.1,13.7,198.9,8,0.46,17.04,34.3,7.728,32.78,71.6,102419.0,0
1268.317,24.9850615,121.0207065,217.3,65.9,157.9,9,-1.61,-11.02,0.7,7.35,21.29,78.3,100445.0,0
1268.417,24.9875235,121.0009422,124.4,52.5,345.1,13,-0.44,3.1,-39.0,7.547,33.94,75.8,98332.0,0
1268.517,24.9794792,120.9810814,14.1,17.3,317.5,11,-1.92,-3.94,2.5,7.366,22.59,59.2,101021.0,0
1268.617,25.0092716,120.9820901,192.5,64.8,273.4,8,1.79,-24.18,8.2,7.615,28.72,84.1,95254.0,0
1268.717,24.9841147,120.972338,207.3,5.2,25.3,11,1.48,-20.55,-8.3,7.432,33.71,33.1,104178.0,0
1268.817,24.9783337,121.0017824,178.5,49.9,16.7,11,1.99,10.3,-12.4,8.18,29.47,56.6,95485.0,0
1268.917,25.0272351,121.0248418,44.5,58.1,209.6,14,-1.92,-22.51,-22.7,7.329,24.69,40.3,95829.0,0
1269.017,25.0217294,120.981708,75.2,57.7,224.9,14,-0.79,24.45,-35.0,8.319,26.24,67.2,95408.0,0
1269.117,25.0066342,121.0172006,18.5,9.9,94.4,14,1.94,29.24,12.3,8.254,32.97,35.0,97768.0,0
1269.217,25.0053751,120.994598,26.5,60.6,245.3,6,-1.33,-8.99,-28.7,8.188,21.22,54.1,103989.0,0
1269.317,25.0079392,120.9864245,2.0,20.3,107.0,10,1.57,-20.35,-1.9,7.672,26.36,34.0,97715.0,0
1269.417,24.999157,120.9858841,236.5,76.2,15.4,9,1.85,10.0,-1.1,7.708,28.14,72.8,103133.0,0
1269.517,25.0216732,121.0067158,232.8,76.9,328.8,9,0.61,-5.15,-8.0,8.298,22.69,62.1,98392.0,0
1269.617,25.0236435,120.9976165,52.6,43.2,283.2,11,1.35,-4.27,-22.2,7.509,31.7,83.3,99999.0,0
1269.717,24.9872703,121.0135984,135.1,47.6,52.1,7,-0.74,11.08,29.7,7.293,28.4,46.5,104874.0,0
1269.817,24.9870662,121.0158663,231.1,20.4,155.8,11,0.73,-28.14,3.5,7.606,31.25,70.0,95841.0,0
1269.917,24.9985542,120.9971211,231.2,48.1,301.4,8,1.12,-14.89,42.0,8.191,24.66,48.2,100306.0,0
1270.017,24.9842447,120.9952694,275.8,18.7,223.4,6,-1.79,19.42,35.9,8.107,22.87,86.1,97750.0,0
1270.117,25.0029126,120.9887279,203.3,41.8,266.9,8,-1.86,-2.59,37.2,7.65,34.6,61.2,102471.0,0
1270.217,25.0139562,120.9993251,80.5,65.1,66.3,10,-0.65,-11.49,39.5,8.098,24.14,76.6,95584.0,0
1270.317,25.0145936,120.9784097,42.1,5.5,224.6,11,-0.94,-21.65,28.7,7.882,24.13,51.8,97521.0,0
1270.417,24.9763358,120.9869256,293.5,21.5,109.8,12,-1.01,5.09,19.6,8.059,25.79,40.3,103095.0,0
1270.517,24.9843387,121.0182356,111.9,68.1,38.2,6,1.53,-7.49,20.6,7.376,27.39,48.9,100613.0,0
1270.617,24.9964069,120.9940533,4.4,21.4,315.8,12,-1.32,17.94,47.6,8.109,23.27,30.1,99323.0,0
1270.717,25.0281091,120.9705886,71.6,21.1,47.7,13,1.32,-28.67,-23.3,7.949,25.35,35.2,101617.0,0
1270.817,25.0131296,120.9944805,155.6,73.8,237.5,12,-1.19,-20.21,48.4,7.704,21.4,33.9,96380.0,0
1270.917,25.0177949,120.9743874,111.8,24.9,36.9,8,-1.7,-28.65,-46.6,8.15,29.23,60.2,103103.0,0
