time,lat,lon,alt,gps_alt,baro_alt,speed,heading,sat,roll,pitch,accx,accy,accz,gyro_x,gyro_y,gyro_z,battery,temp,hum,pressure_kpa,status
1212.924,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-70.61,-88.41,-0.73,0.2,2.25,0.0,-0.1,0.0,0.0,23.5,55.5,101.322,1
1213.075,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-61.07,-88.6,-0.78,0.1,2.3,0.0,-0.1,0.0,0.0,23.5,55.5,101.323,1
1213.228,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-74.98,-88.54,-0.73,0.15,2.25,0.0,-0.1,0.0,0.0,23.53,55.5,101.323,1
1213.378,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-69.01,-88.64,-0.73,0.2,2.21,0.0,-0.1,0.0,0.0,23.52,55.5,101.323,1
1213.528,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-25.23,-88.7,-0.78,0.15,2.3,0.0,-0.1,0.0,0.0,23.53,55.5,101.323,1
1213.679,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-32.23,-88.72,-0.73,0.15,2.25,0.0,0.0,0.0,0.0,23.52,55.4,101.323,1
1213.832,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,8.05,-88.77,-0.73,0.15,2.25,0.0,0.0,0.0,0.0,23.55,55.5,101.324,1
1213.982,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-4.13,-88.8,-0.78,0.15,2.3,0.0,0.0,0.0,0.0,23.52,55.4,101.324,1
1214.132,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-35.77,-88.8,-0.73,0.15,2.25,0.0,0.0,0.0,0.0,23.53,55.4,101.324,1
1214.283,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-38.73,-88.83,-0.78,0.15,2.3,0.0,-0.1,0.0,0.0,23.52,55.4,101.324,1
1214.436,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-64.2,-88.83,-0.78,0.15,2.25,0.0,-0.1,0.0,0.0,23.53,55.4,101.323,1
1214.586,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-62.43,-88.83,-0.73,0.15,2.21,0.0,-0.1,0.0,0.0,23.5,55.4,101.323,1
1214.736,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-20.14,-88.87,-0.73,0.15,2.21,0.0,-0.1,0.0,0.0,23.53,55.4,101.323,1
1214.887,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-25.5,-88.88,-0.78,0.15,2.25,0.0,-0.1,0.0,0.0,23.53,55.4,101.323,1
1215.04,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-52.53,-88.88,-0.78,0.15,2.3,0.0,-0.1,0.0,0.0,23.53,55.3,101.323,1
1215.19,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-51.77,-88.87,-0.78,0.2,2.25,0.0,0.0,0.0,0.0,23.55,55.3,101.323,1
1215.34,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-74.03,-88.89,-0.73,0.15,2.21,0.0,0.0,-0.1,0.0,23.5,55.3,101.323,1
1215.491,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-69.74,-88.85,-0.78,0.2,2.25,0.1,-0.1,0.0,0.0,23.55,55.3,101.323,1
1215.644,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-88.35,-88.87,-0.73,0.15,2.3,-0.1,0.1,0.0,0.0,23.5,55.3,101.322,1
1215.794,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-79.9,-88.87,-0.78,0.2,2.21,0.0,-0.1,0.0,0.0,23.5,55.3,101.323,1
1215.944,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-94.59,-88.87,-0.73,0.15,2.25,-0.1,-0.1,-0.1,0.0,23.53,55.3,101.323,1
1216.095,0.0,0.0,0.1,0.1,0.1,0.0,296.6,0,-84.14,-88.87,-0.73,0.15,2.21,0.0,-0.1,0.0,0.0,23.5,55.3,101.323,1
1216.248,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-99.28,-88.89,-0.78,0.15,2.3,0.0,-0.1,0.0,0.0,23.53,55.3,101.323,1
1216.398,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-88.26,-88.87,-0.78,0.2,2.25,0.0,-0.1,0.0,0.0,23.52,55.3,101.323,1
1216.548,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-102.8,-88.91,-0.78,0.2,2.3,0.0,-0.1,0.0,0.0,23.5,55.3,101.323,1
1216.699,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-93.71,-88.82,-0.78,0.15,2.21,0.0,0.1,0.0,0.0,23.52,55.3,101.323,1
1216.852,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-47.1,-88.91,-0.78,0.15,2.25,0.0,-0.1,-0.1,0.0,23.5,55.3,101.323,1
1217.002,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-49.4,-88.83,-0.73,0.25,2.3,-0.1,0.0,0.0,0.0,23.5,55.3,101.323,1
1217.152,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-74.91,-88.9,-0.73,0.25,2.3,0.0,-0.1,0.0,0.0,23.49,55.3,101.323,1
1217.303,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-68.82,-88.86,-0.78,0.15,2.25,0.0,0.0,0.0,0.0,23.5,55.3,101.323,1
1217.456,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-84.38,-88.87,-0.78,0.15,2.21,0.0,0.0,0.0,0.0,23.52,55.3,101.323,1
1217.606,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-76.08,-88.84,-0.73,0.2,2.25,0.0,0.0,0.0,0.0,23.5,55.3,101.323,1
1217.756,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-91.57,-88.89,-0.69,0.2,2.3,0.0,0.0,0.0,0.0,23.5,55.3,101.323,1
1217.907,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-81.72,-88.84,-0.78,0.2,2.3,0.0,0.0,0.0,0.0,23.52,55.3,101.323,1
1218.06,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-96.03,-88.89,-0.73,0.2,2.3,0.0,-0.1,0.0,0.0,23.49,55.3,101.322,1
1218.21,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-85.5,-88.85,-0.73,0.15,2.21,-0.1,0.1,0.0,0.0,23.52,55.3,101.322,1
1218.36,0.0,0.0,0.2,0.2,0.2,0.0,296.6,0,-95.2,-88.84,-0.73,0.15,2.25,0.0,-0.1,-0.1,0.0,23.47,55.3,101.322,1
1218.511,0.0,0.0,0.3,0.3,0.3,0.0,296.6,0,-81.8,-88.84,-0.78,0.15,2.3,-0.1,0.0,0.0,0.0,23.52,55.3,101.321,1
1218.664,0.0,0.0,0.3,0.3,0.3,0.0,296.6,0,-93.58,-88.85,-0.73,0.1,2.3,-0.1,-0.1,0.0,0.0,23.5,55.2,101.321,1
1218.814,0.0,0.0,0.4,0.4,0.4,0.0,296.6,0,-82.12,-88.84,-0.73,0.15,2.21,0.1,0.0,0.0,0.0,23.49,55.3,101.321,1
1218.964,0.0,0.0,0.3,0.3,0.3,0.0,296.6,0,-94.72,-88.87,-0.73,0.2,2.16,0.0,0.1,0.0,0.0,23.5,55.3,101.321,1
1219.115,0.0,0.0,0.3,0.3,0.3,0.0,296.6,0,-85.09,-88.8,-0.78,0.15,2.25,0.0,-0.1,0.0,0.0,23.47,55.2,101.321,1
1219.268,0.0,0.0,0.4,0.4,0.4,0.0,296.6,0,-37.51,-88.92,-0.73,0.2,2.3,0.0,-0.1,0.0,0.0,23.53,55.2,101.321,1
1219.418,0.0,0.0,0.4,0.4,0.4,0.0,296.6,0,-43.06,-88.79,-0.73,0.2,2.21,0.0,0.0,0.0,0.0,23.52,55.2,101.32,1
1219.568,0.0,0.0,0.4,0.4,0.4,0.0,296.6,0,-13.2,-88.89,-0.73,0.15,2.21,0.0,-0.1,0.0,0.0,23.5,55.3,101.32,1
1219.719,0.0,0.0,0.4,0.4,0.4,0.0,296.6,0,-23.6,-88.77,-0.73,0.15,2.3,0.0,0.0,0.0,0.0,23.5,55.2,101.32,1
